Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Member Type
0h 6m 59s,1/1/2014 2:01,14th & Belmont St NW,31119,1/1/2014 2:08,15th & P St NW,31201,W00165,Registered
0h 1m 49s,1/1/2014 2:02,14th & V St NW,31101,1/1/2014 2:04,14th & V St NW,31101,W20784,Registered
0h 18m 57s,1/1/2014 2:03,Metro Center / 12th & G St NW,31230,1/1/2014 2:21,Harvard St & Adams Mill Rd NW,31112,W20645,Registered
0h 6m 16s,1/1/2014 2:02,Clarendon Blvd & N Fillmore St,31021,1/1/2014 2:09,N Randolph St & Fairfax Dr,31034,W21521,Registered
0h 4m 58s,1/1/2014 2:04,Eastern Market / 7th & North Carolina Ave SE,31610,1/1/2014 2:09,14th & D St SE,31607,W00407,Registered
0h 6m 3s,1/1/2014 2:04,5th & K St NW,31600,1/1/2014 2:10,1st & M St NE,31603,W20392,Registered
0h 14m 43s,1/1/2014 2:04,Park Rd & Holmead Pl NW,31602,1/1/2014 2:19,15th & P St NW,31201,W20626,Registered
0h 4m 32s,1/1/2014 2:04,11th & Kenyon St NW,31102,1/1/2014 2:09,Georgia & New Hampshire Ave NW,31400,W20396,Registered
0h 15m 11s,1/1/2014 2:05,C & O Canal & Wisconsin Ave NW,31225,1/1/2014 2:21,18th & M St NW,31221,W00375,Registered
0h 8m 5s,1/1/2014 2:05,18th St & Wyoming Ave NW,31114,1/1/2014 2:14,7th & T St NW,31109,W21356,Registered
0h 15m 22s,1/1/2014 2:08,10th & U St NW,31111,1/1/2014 2:23,7th & R St NW / Shaw Library,31245,W20723,Casual
0h 11m 33s,1/1/2014 2:08,19th St & Pennsylvania Ave NW,31100,1/1/2014 2:20,7th & F St NW / National Portrait Gallery,31232,W00744,Casual
0h 3m 42s,1/1/2014 2:07,Potomac & Pennsylvania Ave SE,31606,1/1/2014 2:11,8th & Eye St SE / Barracks Row,31608,W21543,Registered
0h 6m 59s,1/1/2014 2:08,17th St & Massachusetts Ave NW,31267,1/1/2014 2:15,New Hampshire Ave & T St NW,31229,W20953,Registered
0h 7m 2s,1/1/2014 2:08,17th St & Massachusetts Ave NW,31267,1/1/2014 2:15,New Hampshire Ave & T St NW,31229,W20917,Registered
0h 14m 57s,1/1/2014 2:08,10th & U St NW,31111,1/1/2014 2:23,7th & R St NW / Shaw Library,31245,W21186,Registered
